à		Vit, I, E
dệt kim		Vit
di		Vt
di bản		N, Ng
di cảo		N, Ng
di căn		Vit
di chỉ		N, Ng
di chiếu		N, Ng
di chúc		N, Ng, Vit
di chuyển		Vt
di chứng		N, Ng
di cốt		N, Ng
di cư		Vit
di dân		N, Vit
di dịch		Vit
di dời		Vit
di dưỡng		Vit
di động		Vit
di hài		N, Ng
di hại		N, Vit
di hận		N, Vit
di hoạ		N, Vit
di huấn		N
di lí		Vt
di lý		Vt
di sản		N, Ng
di tản		Vit
di táng		Vit
di thần		N
di thực		Vit
di tích		N, Ng
di tinh		N
di trú		Vit
di truyền		Vit
di truyền học		N
di vật		N, Ng
dì		N
dì ghẻ		N, Ng
dĩ chí		Cm
dĩ hoà vi quí		X
dĩ hoà vi quý		X
dĩ nhiên		Aa
dĩ thực vi tiên		X
dĩ vãng		N
dí dỏm		Aa
dị		Aa
dị bản		N, Ng
dị biệt		Vitc, Aa
dị chủng		N
dị chứng		N
dị dạng		N, Aa
dị dưỡng		Vit
dị đoan		N, Vit
dị đồng		Aa
dị giáo		N
dị hình		N, Aa
dị hoá		Vit
dị hờm		Aa
dị hợm		Aa
dị hướng		Aa
dị kì		Aa
dị kỳ		Aa
dị nghị		Vit
dị nguyên		N
dị tật		N
dị thường		Aa
dị tộc		Ng
dị tướng		N
dị ứng		N, Vit
dị vật		Ng
dĩa		N
dicdăc		Np
dích-dắc		Np
dịch		Ng, Vt
dịch âm		Vit
dịch bào		Ng
dịch bệnh		N
dịch chuyển		Vt
dịch giả		N, Ng
dịch giọng		Vit
dịch hạch		N, Ng
dịch hoàn		N, Ng
dịch lệ		N, Ng
dịch máy		Vit
dịch nhầy		N, Ng
dịch tả		N, Ng
dịch tễ		N, Ng
dịch tễ học		N
dịch thể		N, Ng
dịch thuật		Vit
dịch vị		Ng
dịch vụ		Np
diesel		Np
diếc		N, Ng
diệc		N, Ng
diệc lửa		N, Ng
diêm		N, Ng
diêm dân		N, Ng
diêm dúa		Aa
diêm nghiệp		N, Ng
diêm sinh		N, Ng
diêm tiêu		N, Ng
diêm trường		N, Ng
diêm vàng		N, Ng
Diêm Vương		Np
Diêm Vương Tinh		Np
diềm		N
diềm bâu		N, Ng
diễm kiều		Aa
diễm lệ		Aa
diễm phúc		N, Aa
diễm tình		N
diễm tuyệt		Aa
diễn		N, Ng, Vt
diễn biến		N, Vit
diễn biến hoà bình		Vit
diễn ca		N, Ng, Vt
diễn cảm		Aa
diễn dịch		Vit
diễn đài		N, Ng
diễn đàn		N, Ng
diễn đạt		Vt
diễn giả		N, Ng
diễn giải		Vt
diễn giảng		Vt
diễn nghĩa		Vit
diễn tả		Vt
diễn tập		Vit
diễn tấu		Vt
diễn thuyết		Vit
diễn tiến		Vit
diễn từ		N, Ng
diễn văn		N, Ng
diễn viên		N, Ng
diễn xuất		Vit
diễn xướng		Vt
diện		N, Vt, Aa
diện kiến		Vt
diện mạo		N
diện tích		N
diện tích phụ		N
diếp		N, Ng
diếp cá		N, Ng
diệp		N
diệp lục		Ng
diệp lục tố		Ng
diệp thạch		N, Ng
diệt		Vts
diệt chủng		Vit
diệt dục		Vit
diệt trừ		Vt
diệt vong		Vit
diều		N, Ng
diều hâu		N, Ng
diễu		Vit
diễu binh		Vit
diễu hành		Vit
diễu võ dương oai		X
diệu		Aa
diệu huyền		Aa
diệu kế		N
diệu kì		Aa
diệu kỳ		Aa
diệu võ dương oai		Vit
diệu vợi		Aa
dìm		Vt
dím		N, Ng
dĩn		N, Ng
dinar		Np
dinh		N, Ng, Vt
dinh cơ		N, Ng
dinh dính		Aa
dinh dưỡng		N, Vit, Aa
dinh điền		Vit
dinh điền sứ		N, Ng
dinh luỹ		N, Ng
dinh tê		Vit
dinh thự		N, Ng
dĩnh ngộ		Aa
dính		Vt, Aa
dính dáng		Vt
dính dấp		Vt
dính líu		Vt
diod		Np
dioptr		Np
díp		N
díp		N, Vt
dịp		N, Nu
dirham		Np
dịt		Vt, Jd
dìu		Vt
dìu dắt		Vt
dìu dặt		Aa
dìu dịu		Aa
díu		Vt
dịu		Vt, Aa
dịu dàng		Aa
dịu hiền		Aa
dịu ngọt		Aa
dịu nhỉu		Aa
do		N, Cm
do dự		Vit
do thám		N, Ng, Vt
dò		N, Vt
dò		N
dò dẫm		Vt
dò hỏi		Vt
dò la		Vt
dò xét		Vt
dó		N, Ng
dọ		Vt
doa		Vt
doá		Vit
doạ		Vt
doạ dẫm		Vt
doạ già doạ non		Vit
doạ nạt		Vt
doãi		Vt
doãng		Vt, An
doạng		Vt
doanh		N
doanh điền		Vit
doanh gia		N, Ng
doanh hoàn		Ng
doanh lợi		N
doanh nghiệp		N, Ng, Vit
doanh nhân		N, Ng
doanh số		N
doanh thu		N
doanh thương		Vit
doanh trại		N, Ng
doành		N
dobra		Np
dóc		Vt, Aa
dọc		N, Nu, Aa
dọc ngang		Nl
doi		Nt
dòi		N
dõi		N, Vt
dọi		N, Vt
dol		Np
dollar		Np
dom		N, Ng
dòm		Vt
dòm dỏ		Vt
dòm ngó		Vt
dỏm		Aa
dóm		Vt
domino		Np
dọn		Vt, Aa
dọn dẹp		Vt
dọn giọng		Vit
dong		N, Vt
dong dải		Aa
dong dỏng		Aa
dong đao		N, Ng
dong riềng		N, Ng
dòng		N, Vt
dòng chảy		N
dòng dõi		N, Ng
dòng điện		N, Ng
dòng điện một chiều		N, Ng
dòng điện xoay chiều		N, Ng
dòng giống		N, Ng
dòng họ		N, Ng
dòng tộc		N, Ng
dỏng		Vt
dõng		Ng
dõng dạc		Aa
dóng		N, Nt, Vt
dóng dả		Vit
dọng		N
dọp		Vit
doping		Np
dopinh		Np
dô		Aa
dô ta		N
dồ		Vt
dỗ		Vt
dỗ dành		Vt
dốc		N, Ng, Vt, Aa
dốc nước		N, Ng
dốc thoải		N, Ng
dôi		Vt, Aa
dồi		N, Ng, Vt
dồi dào		Aa
dồi mài		Vt
dồi sấy		N, Ng
dỗi		Vit
dối		Vit, Aa
dối dá		Aa
dối dăng		Vit
dối già		Aa
dối trá		Aa
dội		Vt
dổm		Aa
dồn		Vt
dồn dập		Aa
dồn ép		Vt
dồn nén		Vt
dồn tụ		Vt
dông		N, Ng, Vit
dông dài		Aa
dông tố		N, Ng
dồng dộc		N, Ng
dộng		Vt
dộp		Vit
dốt		Aa
dốt đặc		Aa
dốt đặc cán mai		Aa
dốt nát		Aa
dột		Aa
dột nát		Aa
dột từ nóc		X
dột từ nóc dột xuống		X
dơ		Aa
dơ bẩn		Aa
dơ dáng		Aa
dơ dáng dại hình		X
dơ dáy		Aa
dơ duốc		Aa
dở		Aa
dở bữa		Vit
dở chừng		Jd
dở chứng		Vit
dở dang		Aa
dở dói		Vit
dở dở ương ương		Aa
dở dơi dở chuột		Aa
dở ẹc		Aa
dở ẹt		Aa
dở hơi		Aa
dở khóc dở cười		Vit
dở khôn dở dại		Aa
dở ông dở thằng		Aa
dở trăng dở đèn		Aa
dỡ		Vt
dớ da dớ dẩn		Aa
dớ dẩn		Aa
dơi		N, Ng
dời		Vto
dợm		Vt
dơn		N
dớn dác		Aa
dợn		N, Vit
dớp		N
drachma		Np
dram		Np
du		N, Vt
du canh		Vit
du côn		N, Ng, Aa
du cư		Vit
du di		Vit
du dương		Aa
du đãng		Vit
du hành		Vit
du hành vũ trụ		Vit
du hí		Vit
du học		Vit
du học sinh		N, Ng
du hý		Vit
du khách		N, Ng
du kí		N
du kích		N, Ng, Vit, Aa
du ký		N
du lãm		Vit
du lịch		Vit
du mục		Vit
du ngoạn		Vit
du nhập		Vt
du thủ du thực		Vit
du thuyền		N, Ng
du thuyết		Vit
du xích		N
du xuân		Vit
dù		N, Ng, Cc
dù cho		Cc
dù dì		N, Ng
dù rằng		Cc
dù sao		X
dụ		N, Vt
dụ dỗ		Vt
dùa		Vt
dũa		Vt
dục dặc		Vit
dục tình		N
dục vọng		N
duềnh		N
dùi		N, Vt
dùi cui		N, Ng
dùi đục		N, Ng
dùi đục chấm mắm cáy		X
dùi mài		Vt
dũi		Vt
dúi		N, Vt
dúi dụi		Vit
dụi		Vt
dúm		Nu, Vt
dúm dó		Aa
dụm		Vt
dumdum		N, Ng
dun		Vt
dun dủi		Vit
dùn		Aa
dún		Vt
dún dẩy		Vit
dung		N, Vt
dung dăng		Vit
dung dị		Aa
dung dịch		N, Ng
dung dịch đệm		N, Ng
dung dịch keo		N, Ng
dung dưỡng		Vt
dung hoà		Vt
dung hợp		Vt
dung lượng		Nu
dung mạo		N
dung môi		N, Ng
dung nạp		Vt
dung nghi		N
dung nham		N, Ng
dung nhan		N
dung nhận		Vt
dung quang		N
dung sai		N
dung tha		Vt
dung thân		Vit
dung thứ		Vt
dung tích		Nu
dung tục		Aa
dung túng		Vt
dùng		Vt, Aa
dùng dằng		Vit
dùng dắng		Vit
dũng		N
dũng cảm		Aa
dũng khí		N
dũng mãnh		Aa
dũng sĩ		N
dũng tướng		N, Ng
dúng		Vt
dụng		Vt
dụng công		Vt
dụng cụ		N, Ng
dụng tâm		N, Vt
dụng tình		Vt
dụng võ		Vit
dụng ý		N, Vt
duốc		Vt
duốc cá		N, Ng
duộc		N
duỗi		N, Vt
duối		N, Ng
dura		Np
duralumin		Np
dút dát		Vit
duy		Jd
duy cảm		Aa
duy danh		Aa
duy danh luận		N
duy lí		Aa
duy linh		Aa
duy linh luận		N
duy lý		Aa
duy mĩ		Aa
duy mỹ		Aa
duy ngã		Aa
duy ngã luận		N
duy nhất		Aa
duy tâm		Aa
duy tâm luận		N
duy tâm sử quan		N
duy tân		Vit
duy thần		Aa
duy trì		Vt
duy tu		Vt
duy vật		Aa
duy vật luận		N
duy ý chí		Aa
duyên		N
duyên		N
duyên cách		N
duyên cớ		N
duyên dáng		Aa
duyên do		N
duyên hài		N
duyên hải		Ng
duyên kì ngộ		N
duyên kiếp		N
duyên kỳ ngộ		N
duyên nghiệp		N
duyên nợ		N
duyên phận		N
duyên số		N
duyệt		Vt
duyệt binh		Vit
duyệt y		Vit
dư		Aa
dư âm		N
dư ba		N
dư dả		Aa
dư dật		Aa
dư đảng		Ng
dư địa chí		N
dư đồ		Ng
dư luận		N
dư lượng		Ng
dư nợ		N
dư thừa		Aa
dư vang		N
dư vị		N
dừ		Aa
dữ		Aa, Jd
dữ dằn		Aa
dữ dội		Aa
dữ đòn		Aa
dữ kiện		N
dữ liệu		N
dữ tợn		Aa
dứ		Vt
dự		N, Vt
dự án		N
dự báo		N, Vt
dự bị		Vt, Aa
dự bị đại học		X
dự cảm		N
dự chi		Vit
dự định		N, Vt
dự đoán		N, Vt
dự khuyết		Aa
dự kiến		N, Vt
dự liệu		Vt
dự luật		N, Ng
dự nhiệm		Aa
dự phòng		Vt
dự thảo		N, Ng, Vt
dự thẩm		N, Ng, Vit
dự thí		Vit
dự thính		Vit
dự thu		Vit
dự tính		Vt
dự toán		N, Vt
dự trù		N, Vt
dự trữ		N, Vt
dự trữ vàng		N
dưa		N, Ng
dưa bở		N, Ng
dưa chuột		N, Ng
dưa đỏ		N, Ng
dưa gang		N, Ng
dưa góp		N, Ng
dưa hấu		N, Ng
dưa hồng		N, Ng
dưa leo		N, Ng
dưa lê		N, Ng
dưa món		N, Ng
dưa tây		N, Ng
dừa		N, Ng
dừa cạn		N, Ng
dừa lửa		N, Ng
dừa nước		N, Ng
dừa xiêm		N, Ng
dứa		N, Ng
dứa dại		N, Ng
dựa		Vt
dựa dẫm		Vt
dức		Vt
dức lác		Vt
dưng		Aa
dừng		Vit
dửng dưng		Vit, Aa
dửng mỡ		Vit
dửng tóc gáy		Vit
dứng		N
dựng		Vt
dựng đứng		Vt
dựng phim		Vit
dựng tóc gáy		Vit
dựng vợ gả chồng		Vit
dược		N, Ng
dược chất		N, Ng
dược chính		N, Ng
dược điển		N
dược học		N
dược khoa		N
dược lí		N
dược liệu		N, Ng
dược lý		N
dược mạ		N
dược phẩm		N, Ng
dược phòng		N, Ng
dược sĩ		N, Ng
dược tá		N, Ng
dược thảo		N, Ng
dược thư		N, Ng
dược tính		N
dược vật		N, Ng
dưới		Nl, Cc
dưới trướng		X
dướn		Vt
dương		N, Aa
dương bản		N
dương cầm		N, Ng
dương cơ		N, N
dương cực		N
dương danh		Vit
dương dương tự đắc		Vit
dương đông kích tây		X
dương gian		N
dương lịch		N
dương liễu		N, Ng
dương mai		N
dương oai		Vit
dương thế		N
dương tính		Aa
dương trần		N
dương vật		N, Ng
dương xỉ		N, Ng
dường		N, Vt
dường bâu		N
dường như		X
dưỡng		N, Vt
dưỡng bệnh		Vit
dưỡng dục		Vit
dưỡng đường		N, Ng
dưỡng khí		Ng
dưỡng lão		Vit
dưỡng sinh		Vit
dưỡng sinh		Vit
dưỡng sức		Vit
dưỡng thân		Vit
dưỡng thân		Vit
dưỡng trấp		Ng
dướng		N
dượng		N
dượt		Vt
dứt		Vt
dứt điểm		Vit
dứt khoát		Aa
dyn		Np
dynamit		Np
dynamo		Np
đa		N, I
đa âm		Aa
đa bào		Aa
đa bội		Aa
đa cảm		Aa
đa canh		Vit
đa chiều		Aa
đa chương trình		N
đa dạng		Aa
đa dạng hoá		Vt
đa dạng sinh học		X
đa dâm		Aa
đa diện		N, Aa
đa dụng		Aa
đa đa		N, Ng
đa đa ích thiện		X
đa đoan		Aa
đa giác		N
đa hệ		Aa
đa khoa		Aa
đa mang		Vt
đa mưu		Aa
đa mưu túc trí		Aa
đa năng		Aa
đa nghi		Aa
đa nghĩa		Aa
đa ngôn		Aa
đa ngôn đa quá		X
đa nguyên		N, Aa
đa nguyên luận		N
đa nhiệm		N
đa phần		Nn
đa phu		Aa
đa phương		Aa
đa sầu		Aa
đa số		Nn
đa số áp đảo		Nn
đa số tuyệt đối		Nn
đa số tương đối		Nn
đa sự		Aa
đa tạ		Vt
đa thần		Aa
đa thần giáo		N
đa thần luận		N
đa thê		Aa
đa thức		N
đa tiết		Aa
đa tình		Aa
đa trá		Aa
đa truân		Aa
đa túc		Ng
đa tư đa lự		Aa
đa tư lự		Aa
đa xử lí		N
đa xử lý		N
đà		N, Jt
đà đận		Vit
đà điểu		N, Ng
đà tàu		N, Ng
đả		Vt
đả đảo		Vt
đả động		Vt
đả đớt		Vit
đả kích		Vt
đả phá		Vt
đả thông		Vt
đã		Vt, Aa, Jt, I
đã đành		X
đã đời		Aa
đã trót phải trét		X
đá		N, Ng, Vt, Aa
đá balat		N, Ng
đá ballast		N, Ng
đá bọt		N, Ng
đá cuội		N, Ng
đá dăm		N, Ng
đá đít		Vt
đá đưa		Vit
đá gà		Vit
đá gà đá vịt		Vit
đá hoa		N, Ng
đá hoa cương		N, Ng
đá hộc		N, Ng
đá lửa		N, Ng
đá macma		N, Ng
đá magma		N, Ng
đá mài		N, Ng
đá nam châm		N, Ng
đá ong		N, Ng
đá phiến		N, Ng
đá quả bóng		Vit
đá quý		N, Ng
đá tai mèo		N, Ng
đá tảng		N, Ng
đá thúng đụng nia		X
đá trầm tích		N, Ng
đá trụ		N, Ng
đá vách		N, Ng
đá vàng		N, Ng
đá vân mẫu		N, Ng
đá vôi		N, Ng
đạc		Nu, Vt
đạc điền		Vit
đách		Ja, I
đai		N, Vt, Vit
đai cân		N, Ng
đai chậu		N, Ng
đai ốc		N, Ng
đai truyền		N, Ng
đài		N, Ng, Aa
đài các		N, Aa
đài đệ		Aa
đài điếm		Aa
đài đóm		N, Ng
đài gương		N
đài hoa		N, Ng
đài hoá thân		N, Ng
đài khí tượng		N, Ng
đài nguyên		Ng
đài nước		N, Ng
đài phát thanh		N, Ng
đài sen		N, Ng
đài tải		Vt
đài thiên văn		N, Ng
đài thọ		Vt
đài trang		N
đài truyền hình		N, Ng
đài trưởng		N
đài từ		N
đãi		Vt
đãi bôi		Aa
đãi cát lấy vàng		X
đãi đằng		Vt
đãi ngộ		Vt
đái		N, Vit
đái dắt		Vit
đái dầm		Vit
đái đường		N
đái láu		Vit
đái nhạt		N
đái tháo		Vit
đái tháo đường		X
đái tội lập công		X
đại		N, An, Jd
đại bác		N, Ng
đại bại		Vit
đại bản doanh		N, Ng
đại bàng		N, Ng
đại bằng		N
đại bi		N
đại biến		N
đại biện lâm thời		N, Ng
đại biện thường trú		N, Ng
đại biểu		N, Ng, Vt
đại binh		N, Ng
đại bịp		Vit
đại bộ phận		Nn
đại bợm		N, Ng
đại ca		N
đại cà sa		Aa
đại cán		N, Ng
đại cao		N
đại cáo		N
đại châu		Ng
đại chiến		N
đại chúng		N, Ng, Aa
đại công nghiệp		N
đại cục		N
đại cử tri		N, Ng
đại cương		N, Aa
đại danh từ		N
đại dịch		N
đại diện		N, Ng, Vt
đại dương		N, Ng
đại đa số		Nn
đại đảm		Aa
đại đao		N, Ng
đại đăng khoa		Vit
đại để		Jd
đại đoàn		N, Ng
đại đoàn kết		Vt
đại độ		Aa
đại đội		N, Ng
đại đội trưởng		N, Ng
đại đồng		Aa
đại đởm		Aa
đại đức		N, Ng
đại gia		N, Ng
đại gia đình		N, Ng
đại gia súc		N, Ng
đại hàn		N
đại hạn		N
đại hình		N
đại hoạ		N
đại hoàng		N
đại học		N
đại học sĩ		N, Ng
đại hồi		N
đại hội		N
đại hồng thuỷ		N
Đại Hùng Tinh		Np
đại huynh		N, Ng
đại khái		Aa
đại khánh		N
đại khoa		N
đại lãn		Aa
đại lão		Aa
đại lễ		N
đại lí		N, Ng
đại lí kinh tiêu		N, Ng
đại lí lãnh sự		N, Ng
đại liên		N, Ng
đại loại		Jd
đại lộ		N, Ng
đại luận		N
đại lục		N, Ng
đại lược		Aa
đại lượng		N
đại lượng		N, Aa
đại lượng biến thiên		N
đại lượng không đổi		N
đại lượng tỉ lệ nghịch		N
đại lượng tỉ lệ thuận		N
đại lượng tỷ lệ nghịch		N
đại lượng tỷ lệ thuận		N
đại lượng vô cùng bé		N
đại lượng vô cùng lớn		N
đại lý		N, Ng
đại mạch		N, Ng
đại não		N, Ng
đại náo		Vt
đại ngàn		N, Ng
đại nghĩa		N
đại ngôn		Vit
đại nguyên soái		N, Ng
đại nguyên suý		N, Ng
đại nhân		Pp
đại nho		N, Ng
đại phá		Vt
đại phàm		Jd
đại pháo		N, Ng
đại phẫu		N
đại phu		N
đại phú		Aa
đại quân		N, Ng
đại qui mô		Aa
đại quy mô		Aa
đại sảnh		N, Ng
đại số		N
đại số học		N
đại sứ		N, Ng
đại sứ đặc mệnh toàn quyền		N, Ng
đại sứ quán		N, Ng
đại sự		N
đại tá		N, Ng
đại tài		Aa
đại tang		N
đại táo		N
đại thắng		N, Vit
đại thần		N, Ng
đại thể		N, Jd
đại thọ		N, Aa
đại thụ		N
đại thuỷ nông		N
đại thử		N
đại thừa		N
đại tiện		Vit
đại trà		Aa
đại tràng		N
đại trào		N
đại trượng phu		N
đại tu		Vt
đại tuần hoàn		N
đại tuyết		N
đại từ		N
đại tự		N, Ng
đại tướng		N, Ng
đại uý		N, Ng
đại vương		N, Ng
đại xa		N, Ng
đại xá		Vit
đại ý		N
đam		Vt, Vim, Vtim
đam mê		Vt, Vim, Vtim
đàm		N, Vit
đàm đạo		Vit
đàm luận		Vt
đàm phán		Vit
đàm thoại		Vit
đàm tiếu		Vit
đảm		Vit, Aa
đảm bảo		N, Vt
đảm đang		Vit, Aa
đảm đương		Vt
đảm lược		N, Aa
đảm nhận		Vt
đảm nhiệm		Vt
đảm phụ		N, Vt
đảm trách		Vt
đám		Ng
đám hội		N, Ng
đám ma		N, Ng
đám tang		N, Ng
đạm		N, Ng
đạm bạc		Aa
đan		Vt
đan chen		Vt
đan cử		Vt
đan lát		Vit
đan tâm		N
đan thanh		N
đan trì		N
đan xen		Vt
đàn		N, Ng, Vt
đàn anh		N, Ng
đàn áp		Vt
đàn bà		N, Ng
đàn bầu		N, Ng
đàn đá		N, Ng
đàn đáy		N, Ng
đàn địch		Vit
đàn đúm		Vit
đàn em		N, Ng
đàn gảy tai trâu		X
đàn gió		N, Ng
đàn hặc		Vit
đàn hoà		Vit
đàn hồi		Aa
đàn hương		N, Ng
đàn kìm		N, Ng
đàn môi		N, Ng
đàn nguyệt		N, Ng
đàn nhật		N, Ng
đàn ông		N, Ng
đàn ông đàn ang		N, Ng
đàn ống		N, Ng
đàn sáo		Vit
đàn sến		N, Ng
đàn tam		N, Ng
đàn tam thập lục		N, Ng
đàn tàu		N, Ng
đàn thập lục		N, Ng
đàn tì		N, Ng
đàn tính		N
đàn tính		N
đàn tơ rưng		N, Ng
đàn tràng		N
đàn tranh		N, Ng
đàn tứ		N
đàn tỳ		N, Ng
đàn việt		Ng
đàn xếp		N, Ng
đản bạch		N
đạn		N
đạn bọc đường		N
đạn dumdum		N, Ng
đạn dược		N, Ng
đạn đumđum		N, Ng
đạn ghém		N, Ng
đạn lõm		N, Ng
đạn nổ		N, Ng
đạn xuyên		N, Ng
đang		Vit
đang		Jt
đang cai		Vt
đang tay		Vt
đang tâm		Vt
đàng		N
đàng điếm		Aa
đàng hoàng		Aa
đảng		Ng
đảng bộ		Ng
đảng cương		N
đảng đoàn		Ng
đảng kì		N, Ng
đảng kỳ		N, Ng
đảng phái		N, Ng
đảng phí		N
đảng sâm		N, Ng
đảng tịch		N
đảng tính		N
đảng tranh		N
đảng trị		Vit
đảng uỷ		Ng
đảng uỷ viên		N, Ng
đảng viên		N, Ng
đảng vụ		N
đãng trí		Vit
đáng		Vt, Aa
đáng đời		Aa
đáng giá		Aa
đáng kể		Aa
đáng kiếp		Aa
đáng lẽ		Jd
đáng lí		Jd
đáng lý		Jd
đanh		N, Ng, Aa
đanh đá		Aa
đanh đá cá cày		Aa
đanh thép		Aa
đành		Vtv
đành đạch		Jd
đành hanh		Aa
đành lòng		Vtv
đành rành		Aa
đành rằng		X
đánh		Vt
đánh bạc		Vit
đánh bại		Vt
đánh bạn		Vt
đánh bạo		Vt
đánh bạt		Vit
đánh bắt		Vt
đánh bật		Vt
đánh bò cạp		Vit
đánh bóng		Vit
đánh bùn sang ao		X
đánh cá		Vit
đánh cắp		Vt
đánh chác		Vit
đánh chén		Vit
đánh chim sẻ		Vit
đánh chính diện		Vit
đánh công kiên		Vit
đánh cuộc		Vit
đánh dấu		Vt
đánh du kích		Vit
đánh đá		Vit
đánh đàng xa		Vit
đánh đấm		Vit
đánh đập		Vt
đánh đĩ		Vit
đánh điểm diệt viện		Vit
đánh đòn		Vt
đánh đổ		Vt
đánh đố		Vt
đánh đôi		Vit
đánh đổi		Vt
đánh đông dẹp bắc		Vit
đánh đồng		Vt
đánh đồng thiếp		Vit
đánh động		Vit
đánh đơn		Vit
đánh đu		Vit
đánh đu với tinh		X
đánh đùng		Jt
đánh đụng		Vt
đánh đuổi		Vt
đánh đường		Vit
đánh gần		Vit
đánh ghen		Vit
đánh giá		Vt
đánh giao thông		Vit
đánh giáp lá cà		Vit
đánh gió		Vit
đánh gục		Vt
đánh hào ngầm		Vit
đánh hỏng		Vit
đánh hôi		Vit
đánh hơi		Vit
đánh khơi		Vit
đánh liều		Vt
đánh lộn		Vit
đánh lộng		Vit
đánh lừa		Vt
đánh máy		Vit
đánh mùi		Vit
đánh nhịp		Vit
đánh ống		Vit
đánh phấn		Vit
đánh rắm		Vit
đánh rơi		Vt
đánh số		Vt
đánh suốt		Vit
đánh tháo		Vit
đánh thọc sâu		Vit
đánh thức		Vt
đánh tiếng		Vt
đánh tiêu diệt		Vit
đánh tiêu hao		Vit
đánh tráo		Vt
đánh trận địa		Vit
đánh trống bỏ dùi		X
đánh trống ghi tên		X
đánh trống lảng		Vit
đánh trống lấp		Vit
đánh trống ngực		Vit
đánh trống qua cửa nhà sấm		X
đánh tung thâm		Vit
đánh úp		Vit
đánh vần		Vit
đánh vận động		Vit
đánh vật		Vit
đánh vòng		Vit
đánh võng		Vit
đánh vỗ mặt		Vit
đánh vu hồi		Vit
đao		N, Ng
đao binh		N, Ng
đao kiếm		N, Ng
đao phủ		N, Ng
đao to búa lớn		X
đào		N, Ng, Vt, Aa
đào hoa		Aa
đào kép		N, Ng
đào lộn hột		N, Ng
đào luyện		Vit
đào mỏ		Vit
đào ngũ		Vit
đào nguyên		N
đào nhiệm		Vit
đào nương		N, Ng
đào sâu		Vit
đào tạo		Vt
đào tẩu		Vit
đào thải		Vt
đào thoát		Vit
đào tơ liễu yếu		X
đảo		N, Ng, Vt
đảo chánh		X
đảo chính		N, Vit
đảo điên		Aa
đảo điện		N
đảo lộn		Vt
đảo ngược		Vt
đảo nợ		Vit
đảo phách		N
đảo vũ		Vit
đáo		N
đáo để		Aa, Jd
đạo		N
đạo Bà La Môn		N
đạo Cao Đài		N
đạo chích		N, Ng
đạo cô		N, Ng
đạo Cơ Đốc		N
đạo cụ		N, Ng
đạo diễn		N, Ng, Vit
đạo đức		N
đạo đức học		N
Đạo giáo		N
đạo hàm		N
đạo hiếu		N
đạo Hindu		N
đạo Hinđu		N
đạo Hồi		N
đạo hữu		N, Ng
đạo Eslam		N
đạo Khổng		N
đạo Kitô		N
đạo Lão		N
đạo lí		N
đạo lộ		Ng
đạo luật		N
đạo lý		N
đạo mạo		Aa
đạo nghĩa		N
đạo ôn		N
đạo Phật		N
đạo quân thứ năm		N, Ng
đạo sĩ		N, Ng
đạo tặc		N, Ng
đạo Thiên Chúa		N
đạo Tin Lành		N
đạo văn		Vit
đáp		Vt
đáp án		N
đáp số		N
đáp từ		N
đáp ứng		Vt
đạp		N, Vt
đạp bằng		Vt
đạp đổ		Vit
đạp lôi		Ng
đạp mái		Vit
đát		Nu
đạt		Vta, Aa
đạt lí thấu tình		Aa
đạt lý thấu tình		Aa
đau		Vt, Aa
đau đáu		Aa
đau đớn		Aa
đau khổ		Aa
đau lòng		Aa
đau ốm		Vit
đau thương		Aa
đau xót		Aa
đau yếu		Vit
đay		N, Vit
đay ấn Độ		N, Ng
đay đả		Vit
đay đảy		Vit
đay nghiến		Vt
đày		Vt
đày ải		Vt
đày đoạ		Vt
đày tớ		N, Ng
đãy		N, Ng
đáy		N, Nl
đáy biển mò kim		X
đắc chí		Aa
đắc cử		Vt
đắc dụng		Aa
đắc đạo		Vit
đắc địa		Aa
đắc kế		Aa
đắc lực		Aa
đắc sách		Aa
đắc thắng		Vitim, Aa
đắc thất		N
đắc thế		Vt
đắc tội		Vt
đắc ý		Aa
đặc		Aa
đặc ân		N
đặc biệt		Aa
đặc cách		Jd
đặc chế		Vt
đặc chủng		Aa
đặc công		N, Ng, Vit
đặc dụng		Aa
đặc điểm		N
đặc hiệu		Aa
đặc hữu		Aa
đặc khu		N, Ng
đặc khu kinh tế		N, Ng
đặc kịt		Aa
đặc mệnh		Vt
đặc nhiệm		Aa
đặc phái		Vit
đặc phái viên		N, Ng
đặc quyền		N
đặc quyền đặc lợi		N
đặc quyền lãnh sự		N
đặc quyền ngoại giao		N
đặc san		N, Ng
đặc sản		N, Ng
đặc sắc		Aa
đặc sệt		Aa
đặc tả		N, Vit
đặc tài		N
đặc thù		N, Aa
đặc tính		N
đặc trách		Vit
đặc trị		Aa
đặc trưng		N, Vt, Aa
đặc vụ		N, Ng
đặc xá		Vit
đăm		Aa
đăm chiêu		N, Vit, Aa
đăm đăm		Aa
đăm đắm		Jd
đằm		N, Aa
đằm đìa		Aa
đằm thắm		Aa
đẵm		Vt, Aa
đắm		Vit, Vt
đắm đuối		Vit
đắm nguyệt say hoa		X
đắm say		Vt, Vim, Vtim
đặm		Aa
đặm đà		Aa
đằn		Vt
đẵn		N, Vt
đắn đo		Vit
đăng		N, Vt
đăng bạ		Vt
đăng bộ		Vt
đăng cai		Vt
đăng đài		Vit
đăng đàn		Vt
đăng đắng		Aa
đăng đó		N, Ng
đăng đối		Aa
đăng đường		Vit
đăng hoả		N
đăng khoa		Vit
đăng kí		N, Vt
đăng kiểm		Vit
đăng ký		N, Vt
